row_in_page,MSA/County,Active In-State Texas Attorneys2 (12-31-16),Texas Population3 (07-01-16),Ratio of Attorneys to Population,Attorneys as a Percent of Total In-State Attorneys4,Population as a Percent of Total Texas Population4,docu_name,page_number,potential_counties_detected,Active In-State Texas Attorneys (12-31-16),Texas Population (07-01-16),Attorneys as a Percent of Total In-State Attorneys,Population as a Percent of Total Texas Population,Active In-State Texas Attorneys2,Attorneys as a Percent of Total In-State Texas Attorneys4,MSA,County,Texas Attorneys2,Population3,Texas Attorneys (12-31-11),Population (07-01-11),Texas Attorneys Percent of Total,Population Percent of Total,Texas Attorneys2 (12-31-11),Population3 (07-01-11),Percent of Total In-State Attorneys4,Percent of Total Texas Population4,Percent of Total In-State Attorneys,Percent of Total Texas Population,Attorneys2 (12-31-11),Ratio of Texas Attorneys to Population,Texas Attorneys Percent of Total In-State Attorneys4,Population Percent of Total Texas Population4,Population Percent of Total In-State Attorneys4,Texas Attorneys,Texas Population
3,.Jasper County,27,35648,"1:1,320",0.03%,0.13%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,.Jeff Davis County,8,2200,1:275,0.01%,0.01%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,.Jim Hogg County,2,5146,"1:2,573",0.00%,0.02%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,.Jim Wells County,45,41149,1:914,0.05%,0.15%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,.Karnes County,19,15254,1:803,0.02%,0.05%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,.Kenedy County,1,404,1:404,0.00%,0.00%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,.Kent County,1,769,1:769,0.00%,0.00%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,.Kerr County,132,51504,1:390,0.15%,0.18%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,.Kimble County,9,4423,1:491,0.01%,0.02%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,.King County,1,289,1:289,0.00%,0.00%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,.Kinney County,3,3590,"1:1,197",0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,.Kleberg County,25,31690,"1:1,268",0.03%,0.11%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,.Knox County,1,3806,"1:3,806",0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,.Lamar County,61,49791,1:816,0.07%,0.18%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,.Lamb County,7,13275,"1:1,896",0.01%,0.05%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,.La Salle County,3,7613,"1:2,538",0.00%,0.03%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,.Lavaca County,29,19809,1:683,0.03%,0.07%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,.Lee County,16,17055,"1:1,066",0.02%,0.06%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,.Leon County,16,17299,"1:1,081",0.02%,0.06%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,.Limestone County,31,23468,1:757,0.03%,0.08%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,.Lipscomb County,4,3487,1:872,0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,.Live Oak County,13,12056,1:927,0.01%,0.04%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,.Llano County,66,20362,1:309,0.07%,0.07%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,.Loving County,0,113,1:--,0.00%,0.00%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,.McCulloch County,9,8172,1:908,0.01%,0.03%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,.McMullen County,1,804,1:804,0.00%,0.00%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,.Madison County,15,13987,1:932,0.02%,0.05%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,.Marion County,7,10147,"1:1,450",0.01%,0.04%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,.Mason County,14,4111,1:294,0.02%,0.01%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,.Matagorda County,41,37187,1:907,0.05%,0.13%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,.Maverick County,50,57685,"1:1,154",0.06%,0.21%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,.Menard County,3,2123,1:708,0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,.Milam County,31,24871,1:802,0.03%,0.09%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,.Mills County,7,4907,1:701,0.01%,0.02%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,.Mitchell County,5,8720,"1:1,744",0.01%,0.03%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,.Montague County,23,19414,1:844,0.03%,0.07%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,.Moore County,14,22120,"1:1,580",0.02%,0.08%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,.Morris County,15,12593,1:840,0.02%,0.05%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,.Motley County,1,1160,"1:1,160",0.00%,0.00%,AttorneyPopulationDensity2016-17.pdf,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,.Nacogdoches County,103,"65,806",1:639,0.12%,0.24%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,.Navarro County,56,"48,523",1:866,0.06%,0.17%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,.Nolan County,23,"14,993",1:652,0.03%,0.05%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,.Ochiltree County,13,"10,306",1:793,0.01%,0.04%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,.Palo Pinto County,29,"28,053",1:967,0.03%,0.10%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,.Panola County,21,"23,492","1:1,119",0.02%,0.08%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,.Parmer County,5,"9,776","1:1,955",0.01%,0.04%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,.Pecos County,13,"15,970","1:1,228",0.01%,0.06%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,.Polk County,59,"47,916",1:812,0.07%,0.17%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,.Presidio County,9,"6,958",1:773,0.01%,0.02%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,.Rains County,6,"11,314","1:1,886",0.01%,0.04%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,.Reagan County,4,"3,608",1:902,0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,.Real County,8,"3,389",1:424,0.01%,0.01%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,.Red River County,6,"12,207","1:2,035",0.01%,0.04%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,.Reeves County,9,"14,921","1:1,658",0.01%,0.05%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,.Refugio County,8,"7,321",1:915,0.01%,0.03%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,.Roberts County,3,916,1:305,0.00%,0.00%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,.Runnels County,9,"10,448","1:1,161",0.01%,0.04%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,.Sabine County,8,"10,303","1:1,288",0.01%,0.04%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,.San Augustine County,6,"8,320","1:1,387",0.01%,0.03%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,San Jacinto County,15,"27,707","1:1,847",0.02%,0.10%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,.San Saba County,17,"5,944",1:350,0.02%,0.02%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,.Schleicher County,4,"3,056",1:764,0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,.Scurry County,9,"17,333","1:1,926",0.01%,0.06%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,.Shackelford County,4,"3,315",1:829,0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,.Shelby County,26,"25,579",1:984,0.03%,0.09%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,.Sherman County,0,"3,068",1:--,0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,.Starr County,44,"64,122","1:1,457",0.05%,0.23%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,.Stephens County,3,"9,906","1:3,302",0.00%,0.04%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,.Sterling County,1,"1,367","1:1,367",0.00%,0.00%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,.Stonewall County,2,"1,426",1:713,0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,.Sutton County,7,"3,869",1:553,0.01%,0.01%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,.Swisher County,5,"7,466","1:1,493",0.01%,0.03%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,.Terrell County,2,812,1:406,0.00%,0.00%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,.Terry County,8,"12,799","1:1,600",0.01%,0.05%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,.Throckmorton County,1,"1,533","1:1,533",0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,.Titus County,25,"32,592","1:1,304",0.03%,0.12%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,.Trinity County,6,"14,442","1:2,407",0.01%,0.05%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,.Tyler County,17,"21,320","1:1,254",0.02%,0.08%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,.Upton County,2,"3,673","1:1,837",0.00%,0.01%,AttorneyPopulationDensity2016-17.pdf,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,.Uvalde County,30,27285,1:910,0.03%,0.10%,AttorneyPopulationDensity2016-17.pdf,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,.Val Verde County,63,48881,1:776,0.07%,0.18%,AttorneyPopulationDensity2016-17.pdf,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,.Van Zandt County,48,54355,"1:1,132",0.05%,0.20%,AttorneyPopulationDensity2016-17.pdf,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,.Walker County,101,71484,1:708,0.11%,0.26%,AttorneyPopulationDensity2016-17.pdf,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,.Ward County,8,11600,"1:1,450",0.01%,0.04%,AttorneyPopulationDensity2016-17.pdf,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,.Washington County,86,35056,1:408,0.10%,0.13%,AttorneyPopulationDensity2016-17.pdf,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,.Wharton County,48,41735,1:869,0.05%,0.15%,AttorneyPopulationDensity2016-17.pdf,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,.Wheeler County,4,5546,"1:1,387",0.00%,0.02%,AttorneyPopulationDensity2016-17.pdf,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,.Wilbarger County,10,12892,"1:1,289",0.01%,0.05%,AttorneyPopulationDensity2016-17.pdf,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,.Willacy County,8,21810,"1:2,726",0.01%,0.08%,AttorneyPopulationDensity2016-17.pdf,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,.Winkler County,4,7893,"1:1,973",0.00%,0.03%,AttorneyPopulationDensity2016-17.pdf,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,.Wood County,47,44227,1:941,0.05%,0.16%,AttorneyPopulationDensity2016-17.pdf,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,.Yoakum County,4,8488,"1:2,122",0.00%,0.03%,AttorneyPopulationDensity2016-17.pdf,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,.Young County,24,18152,1:756,0.03%,0.07%,AttorneyPopulationDensity2016-17.pdf,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,.Zapata County,2,14349,"1:7,175",0.00%,0.05%,AttorneyPopulationDensity2016-17.pdf,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,.Zavala County,4,12023,"1:3,006",0.00%,0.04%,AttorneyPopulationDensity2016-17.pdf,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,"1:2,703",0.01%,0.05%,PopulationDensityReport11-12.pdf,0,13,,,,,,,Abilene MSA,.Callahan County,5,"13,515",,,,,,,,,,,,,,,,,
1,,,,"1:1,679",0.01%,0.08%,PopulationDensityReport11-12.pdf,0,13,,,,,,,Abilene MSA,.Jones County,12,"20,146",,,,,,,,,,,,,,,,,
2,,,,1:555,0.30%,0.52%,PopulationDensityReport11-12.pdf,0,13,,,,,,,Abilene MSA,.Taylor County,239,"132,755",,,,,,,,,,,,,,,,,
3,,,,"1:1,928",0.00%,0.01%,PopulationDensityReport11-12.pdf,0,13,,,,,,,Amarillo MSA,.Armstrong County,1,"1,928",,,,,,,,,,,,,,,,,
4,,,,"1:2,086",0.00%,0.02%,PopulationDensityReport11-12.pdf,0,13,,,,,,,Amarillo MSA,.Carson County,3,"6,259",,,,,,,,,,,,,,,,,
5,,,,1:290,0.52%,0.48%,PopulationDensityReport11-12.pdf,0,13,,,,,,,Amarillo MSA,.Potter County,422,"122,285",,,,,,,,,,,,,,,,,
6,,,,1:822,0.19%,0.48%,PopulationDensityReport11-12.pdf,0,13,,,,,,,Amarillo MSA,.Randall County,150,"123,351",,,,,,,,,,,,,,,,,
7,,,,1:729,0.13%,0.29%,PopulationDensityReport11-12.pdf,0,13,,,,,,,Austin-Round Rock MSA,.Bastrop County,103,"75,115",,,,,,,,,,,,,,,,,
8,,,,1:986,0.05%,0.15%,PopulationDensityReport11-12.pdf,0,13,,,,,,,Austin-Round Rock MSA,.Caldwell County,39,"38,442",,,,,,,,,,,,,,,,,
9,,,,1:420,0.48%,0.64%,PopulationDensityReport11-12.pdf,0,13,,,,,,,Austin-Round Rock MSA,.Hays County,391,"164,050",,,,,,,,,,,,,,,,,
10,,,,1:115,11.42%,4.14%,PopulationDensityReport11-12.pdf,0,13,,,,,,,Austin-Round Rock MSA,.Travis County,"9,212","1,063,130",,,,,,,,,,,,,,,,,
11,,,,1:550,1.00%,1.72%,PopulationDensityReport11-12.pdf,0,13,,,,,,,Austin-Round Rock MSA,.Williamson County,805,"442,782",,,,,,,,,,,,,,,,,
0,.Hardin County,,,1:936,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,59,"55,246",0.07%,0.22%,,,,,,,,,,,,,
1,.Jefferson County,,,1:375,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,674,"252,802",0.84%,0.98%,,,,,,,,,,,,,
2,.Orange County,,,"1:1,031",,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,80,"82,487",0.10%,0.32%,,,,,,,,,,,,,
3,.Cameron County,,,1:768,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,539,"414,123",0.67%,1.61%,,,,,,,,,,,,,
4,.Brazos County,,,1:576,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,343,"197,632",0.43%,0.77%,,,,,,,,,,,,,
5,.Burleson County,,,"1:1,232",,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,14,"17,251",0.02%,0.07%,,,,,,,,,,,,,
6,.Robertson County,,,1:797,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,21,"16,740",0.03%,0.07%,,,,,,,,,,,,,
7,.Aransas County,,,1:649,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,36,"23,374",0.04%,0.09%,,,,,,,,,,,,,
8,.Nueces County,,,1:371,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,926,"343,281",1.15%,1.34%,,,,,,,,,,,,,
9,.San Patricio County,,,1:912,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,71,"64,726",0.09%,0.25%,,,,,,,,,,,,,
10,.Collin County,,,1:386,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,"2,102","812,226",2.61%,3.16%,,,,,,,,,,,,,
11,.Dallas County,,,1:159,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,"15,200","2,416,014",18.85%,9.41%,,,,,,,,,,,,,
12,.Delta County,,,"1:1,303",,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,4,"5,212",0.00%,0.02%,,,,,,,,,,,,,
13,.Denton County,,,1:526,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,"1,305","686,406",1.62%,2.67%,,,,,,,,,,,,,
14,.Ellis County,,,1:830,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,184,"152,753",0.23%,0.59%,,,,,,,,,,,,,
15,.Hunt County,,,"1:1,273",,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,68,"86,531",0.08%,0.34%,,,,,,,,,,,,,
16,.Johnson County,,,"1:1,005",,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,152,"152,734",0.19%,0.59%,,,,,,,,,,,,,
17,.Kaufman County,,,1:878,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,120,"105,358",0.15%,0.41%,,,,,,,,,,,,,
18,.Parker County,,,1:731,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,162,"118,376",0.20%,0.46%,,,,,,,,,,,,,
19,.Rockwall County,,,1:397,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,205,"81,290",0.25%,0.32%,,,,,,,,,,,,,
20,.Tarrant County,,,1:385,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,"4,802","1,849,815",5.95%,7.20%,,,,,,,,,,,,,
21,.Wise County,,,"1:1,129",,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,53,"59,833",0.07%,0.23%,,,,,,,,,,,,,
22,.El Paso County,,,1:683,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,"1,202","820,790",1.49%,3.20%,,,,,,,,,,,,,
23,.Austin County,,,1:551,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,52,"28,665",0.06%,0.11%,,,,,,,,,,,,,
24,.Brazoria County,,,1:512,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,625,"319,973",0.77%,1.25%,,,,,,,,,,,,,
25,.Chambers County,,,"1:1,226",,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,29,"35,552",0.04%,0.14%,,,,,,,,,,,,,
26,.Fort Bend County,,,1:447,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,"1,358","606,953",1.68%,2.36%,,,,,,,,,,,,,
27,.Galveston County,,,1:432,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,685,"295,747",0.85%,1.15%,,,,,,,,,,,,,
28,.Harris County,,,1:193,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,"21,688","4,180,894",26.89%,16.28%,,,,,,,,,,,,,
29,.Liberty County,,,"1:1,073",,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,71,"76,206",0.09%,0.30%,,,,,,,,,,,,,
30,.Montgomery County,,,1:407,,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,"1,158","471,734",1.44%,1.84%,,,,,,,,,,,,,
31,.San Jacinto County,,,"1:1,577",,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,17,"26,801",0.02%,0.10%,,,,,,,,,,,,,
32,.Waller County,,,"1:1,000",,,PopulationDensityReport11-12.pdf,1,34,,,,,,,,,,,44,"44,013",0.05%,0.17%,,,,,,,,,,,,,
0,.Bell County,,,1:961,,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,328.0,315196.0,0.41%,1.23%,,,,,,,,,
1,.Coryell County,,,"1:1,822",,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,42.0,76508.0,0.05%,0.30%,,,,,,,,,
2,.Lampasas County,,,"1:1,105",,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,18.0,19891.0,0.02%,0.08%,,,,,,,,,
3,.Webb County,,,1:797,,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,322.0,256496.0,0.40%,1.00%,,,,,,,,,
4,.Gregg County,,,1:408,,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,302.0,123081.0,0.37%,0.48%,,,,,,,,,
5,.Rusk County,,,"1:1,536",,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,35.0,53759.0,0.04%,0.21%,,,,,,,,,
6,.Upshur County,,,"1:1,245",,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,32.0,39826.0,0.04%,0.16%,,,,,,,,,
7,.Crosby County,,,"1:1,218",,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,5.0,6092.0,0.01%,0.02%,,,,,,,,,
8,.Lubbock County,,,1:367,,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,773.0,283910.0,0.96%,1.11%,,,,,,,,,
9,.Hidalgo County,,,1:832,,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,959.0,797810.0,1.19%,3.11%,,,,,,,,,
10,.Midland County,,,1:343,,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,409.0,140308.0,0.51%,0.55%,,,,,,,,,
11,.Ector County,,,1:819,,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,171.0,140111.0,0.21%,0.55%,,,,,,,,,
12,.Irion County,,,1:--,,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,0.0,1620.0,0.00%,0.01%,,,,,,,,,
13,.Tom Green County,,,1:562,,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,199.0,111823.0,0.25%,0.44%,,,,,,,,,
14,.Atascosa County,,,"1:1,302",,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,35.0,45579.0,0.04%,0.18%,,,,,,,,,
15,.Bandera County,,,1:642,,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,32.0,20538.0,0.04%,0.08%,,,,,,,,,
16,.Bexar County,,,1:320,,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,5486.0,1756153.0,6.80%,6.84%,,,,,,,,,
17,.Comal County,,,1:446,,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,251.0,111963.0,0.31%,0.44%,,,,,,,,,
18,.Guadalupe County,,,"1:1,036",,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,131.0,135757.0,0.16%,0.53%,,,,,,,,,
19,.Kendall County,,,1:219,,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,159.0,34781.0,0.20%,0.14%,,,,,,,,,
20,.Medina County,,,"1:1,030",,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,45.0,46367.0,0.06%,0.18%,,,,,,,,,
21,.Wilson County,,,"1:1,413",,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,31.0,43789.0,0.04%,0.17%,,,,,,,,,
22,.Grayson County,,,1:636,,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,191.0,121419.0,0.24%,0.47%,,,,,,,,,
23,.Bowie County,,,1:432,,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,215.0,92793.0,0.27%,0.36%,,,,,,,,,
24,.Smith County,,,1:353,,,PopulationDensityReport11-12.pdf,2,29,,,,,,,,,,,,,,,604.0,213381.0,0.75%,0.83%,,,,,,,,,
