row_in_page,year_doc,Name,Texas Attorneys,Texas Population,Ratio of Attorneys to Population,Attorneys as a Percent of Total In-State Attorneys,docu_name,page_number,potential_counties_detected
5,2011,Cameron County,539,414123,1:768,0.67%,PopulationDensityReport11-12.pdf,1,34
7,2011,Brazos County,343,197632,1:576,0.43%,PopulationDensityReport11-12.pdf,1,34
8,2011,Burleson County,14,17251,"1:1,232",0.02%,PopulationDensityReport11-12.pdf,1,34
9,2011,Robertson County,21,16740,1:797,0.03%,PopulationDensityReport11-12.pdf,1,34
11,2011,Aransas County,36,23374,1:649,0.04%,PopulationDensityReport11-12.pdf,1,34
12,2011,Nueces County,926,343281,1:371,1.15%,PopulationDensityReport11-12.pdf,1,34
13,2011,San Patricio County,71,64726,1:912,0.09%,PopulationDensityReport11-12.pdf,1,34
15,2011,Collin County,2102,812226,1:386,2.61%,PopulationDensityReport11-12.pdf,1,34
16,2011,Dallas County,15200,2416014,1:159,18.85%,PopulationDensityReport11-12.pdf,1,34
17,2011,Delta County,4,5212,"1:1,303",0.00%,PopulationDensityReport11-12.pdf,1,34
18,2011,Denton County,1305,686406,1:526,1.62%,PopulationDensityReport11-12.pdf,1,34
19,2011,Ellis County,184,152753,1:830,0.23%,PopulationDensityReport11-12.pdf,1,34
20,2011,Hunt County,68,86531,"1:1,273",0.08%,PopulationDensityReport11-12.pdf,1,34
21,2011,Johnson County,152,152734,"1:1,005",0.19%,PopulationDensityReport11-12.pdf,1,34
22,2011,Kaufman County,120,105358,1:878,0.15%,PopulationDensityReport11-12.pdf,1,34
23,2011,Parker County,162,118376,1:731,0.20%,PopulationDensityReport11-12.pdf,1,34
24,2011,Rockwall County,205,81290,1:397,0.25%,PopulationDensityReport11-12.pdf,1,34
25,2011,Tarrant County,4802,1849815,1:385,5.95%,PopulationDensityReport11-12.pdf,1,34
26,2011,Wise County,53,59833,"1:1,129",0.07%,PopulationDensityReport11-12.pdf,1,34
28,2011,El Paso County,1202,820790,1:683,1.49%,PopulationDensityReport11-12.pdf,1,34
30,2011,Austin County,52,28665,1:551,0.06%,PopulationDensityReport11-12.pdf,1,34
31,2011,Brazoria County,625,319973,1:512,0.77%,PopulationDensityReport11-12.pdf,1,34
32,2011,Chambers County,29,35552,"1:1,226",0.04%,PopulationDensityReport11-12.pdf,1,34
33,2011,Fort Bend County,1358,606953,1:447,1.68%,PopulationDensityReport11-12.pdf,1,34
34,2011,Galveston County,685,295747,1:432,0.85%,PopulationDensityReport11-12.pdf,1,34
35,2011,Harris County,21688,4180894,1:193,26.89%,PopulationDensityReport11-12.pdf,1,34
36,2011,Liberty County,71,76206,"1:1,073",0.09%,PopulationDensityReport11-12.pdf,1,34
37,2011,Montgomery County,1158,471734,1:407,1.44%,PopulationDensityReport11-12.pdf,1,34
38,2011,San Jacinto County,17,26801,"1:1,577",0.02%,PopulationDensityReport11-12.pdf,1,34
39,2011,Waller County,44,44013,"1:1,000",0.05%,PopulationDensityReport11-12.pdf,1,34
1,2011,Bell County,328,315196,1:961,0.41%,PopulationDensityReport11-12.pdf,2,29
2,2011,Coryell County,42,76508,"1:1,822",0.05%,PopulationDensityReport11-12.pdf,2,29
3,2011,Lampasas County,18,19891,"1:1,105",0.02%,PopulationDensityReport11-12.pdf,2,29
5,2011,Webb County,322,256496,1:797,0.40%,PopulationDensityReport11-12.pdf,2,29
7,2011,Gregg County,302,123081,1:408,0.37%,PopulationDensityReport11-12.pdf,2,29
8,2011,Rusk County,35,53759,"1:1,536",0.04%,PopulationDensityReport11-12.pdf,2,29
9,2011,Upshur County,32,39826,"1:1,245",0.04%,PopulationDensityReport11-12.pdf,2,29
11,2011,Crosby County,5,6092,"1:1,218",0.01%,PopulationDensityReport11-12.pdf,2,29
12,2011,Lubbock County,773,283910,1:367,0.96%,PopulationDensityReport11-12.pdf,2,29
14,2011,Hidalgo County,959,797810,1:832,1.19%,PopulationDensityReport11-12.pdf,2,29
16,2011,Midland County,409,140308,1:343,0.51%,PopulationDensityReport11-12.pdf,2,29
18,2011,Ector County,171,140111,1:819,0.21%,PopulationDensityReport11-12.pdf,2,29
20,2011,Irion County,0,1620,1:--,0.00%,PopulationDensityReport11-12.pdf,2,29
21,2011,Tom Green County,199,111823,1:562,0.25%,PopulationDensityReport11-12.pdf,2,29
23,2011,Atascosa County,35,45579,"1:1,302",0.04%,PopulationDensityReport11-12.pdf,2,29
24,2011,Bandera County,32,20538,1:642,0.04%,PopulationDensityReport11-12.pdf,2,29
25,2011,Bexar County,5486,1756153,1:320,6.80%,PopulationDensityReport11-12.pdf,2,29
26,2011,Comal County,251,111963,1:446,0.31%,PopulationDensityReport11-12.pdf,2,29
27,2011,Guadalupe County,131,135757,"1:1,036",0.16%,PopulationDensityReport11-12.pdf,2,29
28,2011,Kendall County,159,34781,1:219,0.20%,PopulationDensityReport11-12.pdf,2,29
29,2011,Medina County,45,46367,"1:1,030",0.06%,PopulationDensityReport11-12.pdf,2,29
30,2011,Wilson County,31,43789,"1:1,413",0.04%,PopulationDensityReport11-12.pdf,2,29
32,2011,Grayson County,191,121419,1:636,0.24%,PopulationDensityReport11-12.pdf,2,29
34,2011,Bowie County,215,92793,1:432,0.27%,PopulationDensityReport11-12.pdf,2,29
36,2011,Smith County,604,213381,1:353,0.75%,PopulationDensityReport11-12.pdf,2,29
38,2011,Calhoun County,20,21442,"1:1,072",0.02%,PopulationDensityReport11-12.pdf,2,29
39,2011,Goliad County,8,7243,1:905,0.01%,PopulationDensityReport11-12.pdf,2,29
40,2011,Victoria County,170,87545,1:515,0.21%,PopulationDensityReport11-12.pdf,2,29
1,2011,McLennan County,599,238564,1:398,0.74%,PopulationDensityReport11-12.pdf,3,36
3,2011,Archer County,6,8842,"1:1,474",0.01%,PopulationDensityReport11-12.pdf,3,36
4,2011,Clay County,5,10721,"1:2,144",0.01%,PopulationDensityReport11-12.pdf,3,36
5,2011,Wichita County,214,130698,1:611,0.27%,PopulationDensityReport11-12.pdf,3,36
6,2011,Non-Metropolitan Counties,3359,3075379,1:916,4.16%,PopulationDensityReport11-12.pdf,3,36
7,2011,Anderson County,57,58308,"1:1,023",0.07%,PopulationDensityReport11-12.pdf,3,36
8,2011,Andrews County,10,15445,"1:1,545",0.01%,PopulationDensityReport11-12.pdf,3,36
9,2011,Angelina County,139,87669,1:631,0.17%,PopulationDensityReport11-12.pdf,3,36
10,2011,Bailey County,3,7247,"1:2,416",0.00%,PopulationDensityReport11-12.pdf,3,36
11,2011,Baylor County,2,3741,"1:1,871",0.00%,PopulationDensityReport11-12.pdf,3,36
12,2011,Bee County,27,32095,"1:1,189",0.03%,PopulationDensityReport11-12.pdf,3,36
13,2011,Blanco County,24,10600,1:442,0.03%,PopulationDensityReport11-12.pdf,3,36
14,2011,Borden County,0,626,1:--,0.00%,PopulationDensityReport11-12.pdf,3,36
15,2011,Bosque County,17,18306,"1:1,077",0.02%,PopulationDensityReport11-12.pdf,3,36
16,2011,Brewster County,36,9386,1:261,0.04%,PopulationDensityReport11-12.pdf,3,36
17,2011,Briscoe County,1,1651,"1:1,651",0.00%,PopulationDensityReport11-12.pdf,3,36
18,2011,Brooks County,3,7222,"1:2,407",0.00%,PopulationDensityReport11-12.pdf,3,36
19,2011,Brown County,50,38186,1:764,0.06%,PopulationDensityReport11-12.pdf,3,36
20,2011,Burnet County,66,43117,1:653,0.08%,PopulationDensityReport11-12.pdf,3,36
21,2011,Camp County,9,12407,"1:1,379",0.01%,PopulationDensityReport11-12.pdf,3,36
22,2011,Cass County,21,30256,"1:1,441",0.03%,PopulationDensityReport11-12.pdf,3,36
23,2011,Castro County,5,8116,"1:1,623",0.01%,PopulationDensityReport11-12.pdf,3,36
24,2011,Cherokee County,58,51140,1:882,0.07%,PopulationDensityReport11-12.pdf,3,36
25,2011,Childress County,8,6984,1:873,0.01%,PopulationDensityReport11-12.pdf,3,36
26,2011,Cochran County,1,3109,"1:3,109",0.00%,PopulationDensityReport11-12.pdf,3,36
27,2011,Coke County,1,3305,"1:3,305",0.00%,PopulationDensityReport11-12.pdf,3,36
28,2011,Coleman County,8,8763,"1:1,095",0.01%,PopulationDensityReport11-12.pdf,3,36
29,2011,Collingsworth County,2,3092,"1:1,546",0.00%,PopulationDensityReport11-12.pdf,3,36
30,2011,Colorado County,22,20816,1:946,0.03%,PopulationDensityReport11-12.pdf,3,36
31,2011,Comanche County,17,13891,1:817,0.02%,PopulationDensityReport11-12.pdf,3,36
32,2011,Concho County,1,4081,"1:4,081",0.00%,PopulationDensityReport11-12.pdf,3,36
33,2011,Cooke County,47,38396,1:817,0.06%,PopulationDensityReport11-12.pdf,3,36
34,2011,Cottle County,2,1499,1:750,0.00%,PopulationDensityReport11-12.pdf,3,36
35,2011,Crane County,2,4383,"1:2,192",0.00%,PopulationDensityReport11-12.pdf,3,36
36,2011,Crockett County,12,3722,1:310,0.01%,PopulationDensityReport11-12.pdf,3,36
37,2011,Culberson County,2,2383,"1:1,192",0.00%,PopulationDensityReport11-12.pdf,3,36
0,2011,Dallam County,10,6866,1:687,0.01%,PopulationDensityReport11-12.pdf,4,45
1,2011,Dawson County,9,13751,"1:1,528",0.01%,PopulationDensityReport11-12.pdf,4,45
2,2011,Deaf Smith County,14,19595,"1:1,400",0.02%,PopulationDensityReport11-12.pdf,4,45
3,2011,DeWitt County,15,20255,"1:1,350",0.02%,PopulationDensityReport11-12.pdf,4,45
4,2011,Dickens County,1,2402,"1:2,402",0.00%,PopulationDensityReport11-12.pdf,4,45
5,2011,Dimmit County,12,10118,1:843,0.01%,PopulationDensityReport11-12.pdf,4,45
6,2011,Donley County,5,3651,1:730,0.01%,PopulationDensityReport11-12.pdf,4,45
7,2011,Duval County,8,11669,"1:1,459",0.01%,PopulationDensityReport11-12.pdf,4,45
8,2011,Eastland County,31,18633,1:601,0.04%,PopulationDensityReport11-12.pdf,4,45
9,2011,Edwards County,3,1966,1:655,0.00%,PopulationDensityReport11-12.pdf,4,45
10,2011,Erath County,59,38266,1:649,0.07%,PopulationDensityReport11-12.pdf,4,45
11,2011,Falls County,10,17944,"1:1,794",0.01%,PopulationDensityReport11-12.pdf,4,45
12,2011,Fannin County,20,33958,"1:1,698",0.02%,PopulationDensityReport11-12.pdf,4,45
13,2011,Fayette County,46,24732,1:538,0.06%,PopulationDensityReport11-12.pdf,4,45
14,2011,Fisher County,2,3914,"1:1,957",0.00%,PopulationDensityReport11-12.pdf,4,45
15,2011,Floyd County,6,6394,"1:1,066",0.01%,PopulationDensityReport11-12.pdf,4,45
16,2011,Foard County,2,1341,1:671,0.00%,PopulationDensityReport11-12.pdf,4,45
17,2011,Franklin County,9,10551,"1:1,172",0.01%,PopulationDensityReport11-12.pdf,4,45
18,2011,Freestone County,24,19684,1:820,0.03%,PopulationDensityReport11-12.pdf,4,45
19,2011,Frio County,12,17400,"1:1,450",0.01%,PopulationDensityReport11-12.pdf,4,45
20,2011,Gaines County,5,18003,"1:3,601",0.01%,PopulationDensityReport11-12.pdf,4,45
21,2011,Garza County,2,6562,"1:3,281",0.00%,PopulationDensityReport11-12.pdf,4,45
22,2011,Gillespie County,62,25114,1:405,0.08%,PopulationDensityReport11-12.pdf,4,45
23,2011,Glasscock County,0,1251,1:--,0.00%,PopulationDensityReport11-12.pdf,4,45
24,2011,Gonzales County,17,19904,"1:1,171",0.02%,PopulationDensityReport11-12.pdf,4,45
25,2011,Gray County,24,22755,1:948,0.03%,PopulationDensityReport11-12.pdf,4,45
26,2011,Grimes County,29,26887,1:927,0.04%,PopulationDensityReport11-12.pdf,4,45
27,2011,Hale County,27,36498,"1:1,352",0.03%,PopulationDensityReport11-12.pdf,4,45
28,2011,Hall County,1,3377,"1:3,377",0.00%,PopulationDensityReport11-12.pdf,4,45
29,2011,Hamilton County,14,8472,1:605,0.02%,PopulationDensityReport11-12.pdf,4,45
30,2011,Hansford County,6,5577,1:930,0.01%,PopulationDensityReport11-12.pdf,4,45
31,2011,Hardeman County,4,4176,"1:1,044",0.00%,PopulationDensityReport11-12.pdf,4,45
32,2011,Harrison County,83,66296,1:799,0.10%,PopulationDensityReport11-12.pdf,4,45
33,2011,Hartley County,0,5971,1:--,0.00%,PopulationDensityReport11-12.pdf,4,45
34,2011,Haskell County,5,5989,"1:1,198",0.01%,PopulationDensityReport11-12.pdf,4,45
35,2011,Hemphill County,4,3970,1:993,0.00%,PopulationDensityReport11-12.pdf,4,45
36,2011,Henderson County,95,78826,1:830,0.12%,PopulationDensityReport11-12.pdf,4,45
37,2011,Hill County,34,35392,"1:1,041",0.04%,PopulationDensityReport11-12.pdf,4,45
38,2011,Hockley County,16,22892,"1:1,431",0.02%,PopulationDensityReport11-12.pdf,4,45
39,2011,Hood County,82,51670,1:630,0.10%,PopulationDensityReport11-12.pdf,4,45
40,2011,Hopkins County,38,35371,1:931,0.05%,PopulationDensityReport11-12.pdf,4,45
41,2011,Houston County,20,23484,"1:1,174",0.02%,PopulationDensityReport11-12.pdf,4,45
42,2011,Howard County,20,35122,"1:1,756",0.02%,PopulationDensityReport11-12.pdf,4,45
43,2011,Hudspeth County,1,3423,"1:3,423",0.00%,PopulationDensityReport11-12.pdf,4,45
0,2011,Hutchinson County,23,22132,1:962,0.03%,PopulationDensityReport11-12.pdf,5,45
1,2011,Jack County,9,9035,"1:1,004",0.01%,PopulationDensityReport11-12.pdf,5,45
2,2011,Jackson County,11,14032,"1:1,276",0.01%,PopulationDensityReport11-12.pdf,5,45
3,2011,Jasper County,28,36296,"1:1,296",0.03%,PopulationDensityReport11-12.pdf,5,45
4,2011,Jeff Davis County,7,2288,1:327,0.01%,PopulationDensityReport11-12.pdf,5,45
5,2011,Jim Hogg County,3,5265,"1:1,755",0.00%,PopulationDensityReport11-12.pdf,5,45
6,2011,Jim Wells County,46,41339,1:899,0.06%,PopulationDensityReport11-12.pdf,5,45
7,2011,Karnes County,17,14946,1:879,0.02%,PopulationDensityReport11-12.pdf,5,45
8,2011,Kenedy County,3,437,1:146,0.00%,PopulationDensityReport11-12.pdf,5,45
9,2011,Kent County,1,825,1:825,0.00%,PopulationDensityReport11-12.pdf,5,45
10,2011,Kerr County,141,49783,1:353,0.17%,PopulationDensityReport11-12.pdf,5,45
11,2011,Kimble County,11,4632,1:421,0.01%,PopulationDensityReport11-12.pdf,5,45
12,2011,King County,0,255,1:--,0.00%,PopulationDensityReport11-12.pdf,5,45
13,2011,Kinney County,3,3630,"1:1,210",0.00%,PopulationDensityReport11-12.pdf,5,45
14,2011,Kleberg County,29,32196,"1:1,110",0.04%,PopulationDensityReport11-12.pdf,5,45
15,2011,Knox County,2,3758,"1:1,879",0.00%,PopulationDensityReport11-12.pdf,5,45
16,2011,Lamar County,4,7001,"1:1,750",0.00%,PopulationDensityReport11-12.pdf,5,45
17,2011,Lamb County,56,50074,1:894,0.07%,PopulationDensityReport11-12.pdf,5,45
18,2011,La Salle County,11,14167,"1:1,288",0.01%,PopulationDensityReport11-12.pdf,5,45
19,2011,Lavaca County,24,19347,1:806,0.03%,PopulationDensityReport11-12.pdf,5,45
20,2011,Lee County,18,16666,1:926,0.02%,PopulationDensityReport11-12.pdf,5,45
21,2011,Leon County,15,16916,"1:1,128",0.02%,PopulationDensityReport11-12.pdf,5,45
22,2011,Limestone County,31,23634,1:762,0.04%,PopulationDensityReport11-12.pdf,5,45
23,2011,Lipscomb County,3,3327,"1:1,109",0.00%,PopulationDensityReport11-12.pdf,5,45
24,2011,Live Oak County,11,11447,"1:1,041",0.01%,PopulationDensityReport11-12.pdf,5,45
25,2011,Llano County,71,19181,1:270,0.09%,PopulationDensityReport11-12.pdf,5,45
26,2011,Loving County,0,94,1:--,0.00%,PopulationDensityReport11-12.pdf,5,45
27,2011,Lynn County,7,5888,1:841,0.01%,PopulationDensityReport11-12.pdf,5,45
28,2011,McCulloch County,6,8290,"1:1,382",0.01%,PopulationDensityReport11-12.pdf,5,45
29,2011,McMullen County,0,690,1:--,0.00%,PopulationDensityReport11-12.pdf,5,45
30,2011,Madison County,13,13747,"1:1,057",0.02%,PopulationDensityReport11-12.pdf,5,45
31,2011,Marion County,6,10507,"1:1,751",0.01%,PopulationDensityReport11-12.pdf,5,45
32,2011,Martin County,2,4934,"1:2,467",0.00%,PopulationDensityReport11-12.pdf,5,45
33,2011,Mason County,10,3984,1:398,0.01%,PopulationDensityReport11-12.pdf,5,45
34,2011,Matagorda County,39,36809,1:944,0.05%,PopulationDensityReport11-12.pdf,5,45
35,2011,Maverick County,45,55405,"1:1,231",0.06%,PopulationDensityReport11-12.pdf,5,45
36,2011,Menard County,2,2264,"1:1,132",0.00%,PopulationDensityReport11-12.pdf,5,45
37,2011,Milam County,31,24699,1:797,0.04%,PopulationDensityReport11-12.pdf,5,45
38,2011,Mills County,7,4848,1:693,0.01%,PopulationDensityReport11-12.pdf,5,45
39,2011,Mitchell County,4,9426,"1:2,357",0.00%,PopulationDensityReport11-12.pdf,5,45
40,2011,Montague County,18,19710,"1:1,095",0.02%,PopulationDensityReport11-12.pdf,5,45
41,2011,Moore County,16,21954,"1:1,372",0.02%,PopulationDensityReport11-12.pdf,5,45
42,2011,Morris County,18,12848,1:714,0.02%,PopulationDensityReport11-12.pdf,5,45
43,2011,Motley County,2,1230,1:615,0.00%,PopulationDensityReport11-12.pdf,5,45
0,2011,Nacogdoches County,90,65466,1:727,0.11%,PopulationDensityReport11-12.pdf,6,43
1,2011,Navarro County,55,48054,1:874,0.07%,PopulationDensityReport11-12.pdf,6,43
2,2011,Newton County,6,14454,"1:2,409",0.01%,PopulationDensityReport11-12.pdf,6,43
3,2011,Nolan County,20,15269,1:763,0.02%,PopulationDensityReport11-12.pdf,6,43
4,2011,Ochiltree County,14,10530,1:752,0.02%,PopulationDensityReport11-12.pdf,6,43
5,2011,Oldham County,0,2074,1:--,0.00%,PopulationDensityReport11-12.pdf,6,43
6,2011,Palo Pinto County,27,28115,"1:1,041",0.03%,PopulationDensityReport11-12.pdf,6,43
7,2011,Panola County,21,24058,"1:1,146",0.03%,PopulationDensityReport11-12.pdf,6,43
8,2011,Parmer County,4,10332,"1:2,583",0.00%,PopulationDensityReport11-12.pdf,6,43
9,2011,Pecos County,9,15716,"1:1,746",0.01%,PopulationDensityReport11-12.pdf,6,43
10,2011,Polk County,42,45725,"1:1,089",0.05%,PopulationDensityReport11-12.pdf,6,43
11,2011,Presidio County,11,7761,1:706,0.01%,PopulationDensityReport11-12.pdf,6,43
12,2011,Rains County,5,11059,"1:2,212",0.01%,PopulationDensityReport11-12.pdf,6,43
13,2011,Reagan County,2,3390,"1:1,695",0.00%,PopulationDensityReport11-12.pdf,6,43
14,2011,Real County,3,3426,"1:1,142",0.00%,PopulationDensityReport11-12.pdf,6,43
15,2011,Red River County,7,12703,"1:1,815",0.01%,PopulationDensityReport11-12.pdf,6,43
16,2011,Reeves County,7,13757,"1:1,965",0.01%,PopulationDensityReport11-12.pdf,6,43
17,2011,Refugio County,7,7291,"1:1,042",0.01%,PopulationDensityReport11-12.pdf,6,43
18,2011,Roberts County,0,816,1:--,0.00%,PopulationDensityReport11-12.pdf,6,43
19,2011,Runnels County,10,10524,"1:1,052",0.01%,PopulationDensityReport11-12.pdf,6,43
20,2011,Sabine County,6,10740,"1:1,790",0.01%,PopulationDensityReport11-12.pdf,6,43
21,2011,San Augustine County,6,8874,"1:1,479",0.01%,PopulationDensityReport11-12.pdf,6,43
22,2011,San Saba County,12,6023,1:502,0.01%,PopulationDensityReport11-12.pdf,6,43
23,2011,Schleicher County,2,3309,"1:1,655",0.00%,PopulationDensityReport11-12.pdf,6,43
24,2011,Scurry County,9,16919,"1:1,880",0.01%,PopulationDensityReport11-12.pdf,6,43
25,2011,Shackelford County,2,3318,"1:1,659",0.00%,PopulationDensityReport11-12.pdf,6,43
26,2011,Shelby County,28,25772,1:920,0.03%,PopulationDensityReport11-12.pdf,6,43
27,2011,Sherman County,0,3040,1:--,0.00%,PopulationDensityReport11-12.pdf,6,43
28,2011,Somervell County,5,8451,"1:1,690",0.01%,PopulationDensityReport11-12.pdf,6,43
29,2011,Starr County,40,61715,"1:1,543",0.05%,PopulationDensityReport11-12.pdf,6,43
30,2011,Stephens County,6,9548,"1:1,591",0.01%,PopulationDensityReport11-12.pdf,6,43
31,2011,Sterling County,1,1158,"1:1,158",0.00%,PopulationDensityReport11-12.pdf,6,43
32,2011,Stonewall County,0,1472,1:--,0.00%,PopulationDensityReport11-12.pdf,6,43
33,2011,Sutton County,5,4007,1:801,0.01%,PopulationDensityReport11-12.pdf,6,43
34,2011,Swisher County,4,7801,"1:1,950",0.00%,PopulationDensityReport11-12.pdf,6,43
35,2011,Terrell County,3,960,1:320,0.00%,PopulationDensityReport11-12.pdf,6,43
36,2011,Terry County,9,12675,"1:1,408",0.01%,PopulationDensityReport11-12.pdf,6,43
37,2011,Throckmorton County,1,1609,"1:1,609",0.00%,PopulationDensityReport11-12.pdf,6,43
38,2011,Titus County,25,32596,"1:1,304",0.03%,PopulationDensityReport11-12.pdf,6,43
39,2011,Trinity County,8,14659,"1:1,832",0.01%,PopulationDensityReport11-12.pdf,6,43
40,2011,Tyler County,15,21666,"1:1,444",0.02%,PopulationDensityReport11-12.pdf,6,43
41,2011,Upton County,2,3346,"1:1,673",0.00%,PopulationDensityReport11-12.pdf,6,43
0,2011,Uvalde County,32,26535,1:829,0.04%,PopulationDensityReport11-12.pdf,7,18
1,2011,Val Verde County,73,49106,1:673,0.09%,PopulationDensityReport11-12.pdf,7,18
2,2011,Van Zandt County,41,52776,"1:1,287",0.05%,PopulationDensityReport11-12.pdf,7,18
3,2011,Walker County,107,68087,1:636,0.13%,PopulationDensityReport11-12.pdf,7,18
4,2011,Ward County,7,10716,"1:1,531",0.01%,PopulationDensityReport11-12.pdf,7,18
5,2011,Washington County,69,33791,1:490,0.09%,PopulationDensityReport11-12.pdf,7,18
6,2011,Wharton County,46,41314,1:898,0.06%,PopulationDensityReport11-12.pdf,7,18
7,2011,Wheeler County,6,5465,1:911,0.01%,PopulationDensityReport11-12.pdf,7,18
8,2011,Wilbarger County,12,13404,"1:1,117",0.01%,PopulationDensityReport11-12.pdf,7,18
9,2011,Willacy County,8,22095,"1:2,762",0.01%,PopulationDensityReport11-12.pdf,7,18
10,2011,Winkler County,4,7178,"1:1,795",0.00%,PopulationDensityReport11-12.pdf,7,18
11,2011,Wood County,44,42164,1:958,0.05%,PopulationDensityReport11-12.pdf,7,18
12,2011,Yoakum County,4,8005,"1:2,001",0.00%,PopulationDensityReport11-12.pdf,7,18
13,2011,Young County,25,18484,1:739,0.03%,PopulationDensityReport11-12.pdf,7,18
14,2011,Zapata County,3,14282,"1:4,761",0.00%,PopulationDensityReport11-12.pdf,7,18
15,2011,Zavala County,5,11849,"1:2,370",0.01%,PopulationDensityReport11-12.pdf,7,18
