county name,active in state texas attorney_2010,active in state texas attorney_2011,active in state texas attorney_2012,active in state texas attorney_2013,active in state texas attorney_2014,active in state texas attorney_2015,active in state texas attorney_2016,active in state texas attorney_2017,active in state texas attorney_2018,active in state texas attorney_2019,active in state texas attorney_2020,active in state texas attorney_2021,active in state texas attorney_2022,active in state texas attorney_2023,active in state texas attorney_2024,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020,population_2021,population_2023,population_2024,ratio of attorney to population_2010,ratio of attorney to population_2011,ratio of attorney to population_2012,ratio of attorney to population_2013,ratio of attorney to population_2014,ratio of attorney to population_2015,ratio of attorney to population_2016,ratio of attorney to population_2017,ratio of attorney to population_2018,ratio of attorney to population_2019,ratio of attorney to population_2020,ratio of attorney to population_2021,ratio of attorney to population_2023,ratio of attorney to population_2024,attorney as a percentage of total in state attorney_2010,attorney as a percentage of total in state attorney_2011,attorney as a percentage of total in state attorney_2012,attorney as a percentage of total in state attorney_2013,attorney as a percentage of total in state attorney_2014,attorney as a percentage of total in state attorney_2015,attorney as a percentage of total in state attorney_2016,attorney as a percentage of total in state attorney_2017,attorney as a percentage of total in state attorney_2018,attorney as a percentage of total in state attorney_2019,attorney as a percentage of total in state attorney_2020,attorney as a percentage of total in state attorney_2021,attorney as a percentage of total in state attorney_2023,attorney as a percentage of total in state attorney_2024,population as a percentage of total texas population_2010,population as a percentage of total texas population_2011,population as a percentage of total texas population_2012,population as a percentage of total texas population_2013,population as a percentage of total texas population_2014,population as a percentage of total texas population_2015,population as a percentage of total texas population_2016,population as a percentage of total texas population_2017,population as a percentage of total texas population_2018,population as a percentage of total texas population_2019,population as a percentage of total texas population_2020,population as a percentage of total texas population_2021,population as a percentage of total texas population_2023,population as a percentage of total texas population_2024
Comanche County,14,17,17,16,14,14,14,14,12,12,13,15,15,16,15,13974,13891,13765,13623,13550,13430,,13573,13534,13635,13594,13775,14050,14359,0.734722222,0.609027778,0.604166667,0.632638889,0.713888889,0.707638889,,0.715277778,"1:1,128","1:1,136","1:1,046",0.679166667,0.651388889,0.70625,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,,0.0005,0.0005,,,0.0005,,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005
Concho County,2,1,2,2,2,3,3,2,2,2,2,2,3,4,3,4087,4081,4010,4043,4050,4081,,2717,4276,2726,3303,3341,3297,3326,"1:2,044","1:4,081","1:2,005","1:2,022","1:2,025","1:1,360",,"1:1,359","1:2,138","1:1,363","1:1,652","1:1,671",0.613888889,"1:1,109",0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0002,0.0002,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Cooke County,47,47,50,52,51,53,51,50,52,52,49,56,57,56,62,38437,38396,38688,38467,38761,39229,,39895,40574,41257,41668,42244,43782,44258,0.609722222,0.609027778,0.579166667,0.555555556,0.569444444,0.555555556,,0.595833333,0.583333333,0.592361111,0.631944444,0.565277778,0.584722222,0.5375,0.0005,0.0006,0.0006,0.0006,0.0006,0.0006,,0.0005,0.0006,0.0006,0.0005,0.0006,0.0006,0.0006,,0.0015,0.0015,,,0.0014,,0.0014,,0.0014,0.0015,0.0014,0.0015,0.0015
Coryell County,30,42,43,45,40,33,35,37,38,38,36,36,36,33,37,75388,76508,77231,76192,75562,75503,,74913,74808,75951,83093,84232,84878,86370,"1:2,513","1:1,822","1:1,796","1:1,693","1:1,889","1:2,288",,"1:2,025","1:1,969","1:1,999","1:2,308","1:2,340","1:2,572","1:2,334",0.0003,0.0005,0.0005,0.0005,0.0005,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004,0.0003,0.0004,,0.003,0.003,,,0.0027,,0.0026,,0.0026,0.0029,0.0029,0.0028,0.0029
Cottle County,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1505,1499,1486,1452,1415,1426,,1387,1389,1398,1380,1381,1294,1263,"1:1,505",0.5625,0.557638889,0.545833333,0.533333333,0.536805556,,0.523611111,"1:1,389","1:1,398",0.520833333,0.521527778,0.490972222,0.480555556,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0,,0,0,0,0,0
Crane County,6,2,2,3,3,4,3,5,4,4,4,3,4,3,4,4375,4383,4562,4773,4950,5048,,4740,4794,4797,4675,4680,4574,4594,0.547916667,"1:2,192","1:2,281","1:1,591","1:1,650","1:1,262",,0.7,"1:1,199","1:1,199","1:1,169","1:1,560","1:1,525","1:1,149",0.0001,0,0,0,0,0,,0.0001,0,0,0,0,0,0,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Crockett County,4,12,9,11,11,9,9,10,10,10,9,8,7,7,5,3719,3722,3743,3807,3812,3710,,3564,3499,3464,3098,3068,2858,2799,0.6875,0.256944444,0.330555556,0.281944444,0.282638889,0.327777778,,0.288888889,0.284722222,0.281944444,0.280555556,0.308333333,0.325,0.430555556,0,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Crosby County,4,5,5,5,5,5,5,4,3,3,3,3,4,4,3,6059,6092,6126,5991,5899,5977,,5899,5779,5737,5133,5106,4917,5030,"1:1,515","1:1,218","1:1,225","1:1,198","1:1,180","1:1,195",,"1:1,475","1:1,926","1:1,912","1:1,711","1:1,702","1:1,229","1:1,677",0,0.0001,0.0001,0.0001,0.0001,0.0001,,0,0,0,0,0,0,0,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Culberson County,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2398,2383,2290,2277,2266,2236,,2231,2204,2171,2188,2193,2196,2254,"1:2,398","1:1,192","1:2,290","1:2,277","1:2,266","1:2,236",,"1:2,231","1:2,204","1:2,171","1:2,188","1:2,193","1:2,196","1:2,254",0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Dallam County,5,10,7,7,8,9,9,8,9,9,9,8,8,6,7,6703,6866,6996,7057,7135,7121,,7208,7200,7287,7115,7172,7237,7526,"1:1,341",0.51875,0.735416667,"1:1,008",0.661111111,0.590972222,,0.667361111,0.597222222,0.604166667,0.590972222,0.664583333,"1:1,206","1:1,075",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0003,0.0003,,,0.0003,,0.0003,,0.0003,0.0002,0.0002,0.0002,0.0003
Dallas County,14930,15200,15527,15889,16037,16182,16369,16574,16702,16702,16760,16886,17190,17365,17620,2368139,2416014,2453843,2480331,2518638,2553385,,2618148,2637772,2635516,2613539,2586050,2606358,2656028,0.152083333,0.152083333,0.151388889,0.15,0.150694444,0.151388889,,0.151388889,0.151388889,0.151388889,0.15,0.147916667,0.145833333,0.146527778,0.1716,0.1885,0.188,0.1874,0.1854,0.184,,0.1822,0.183,0.183,0.1837,0.1774,0.1793,0.182,,0.0941,0.0942,,,0.093,,0.0925,,0.0918,0.0911,0.0876,0.0868,0.0884
Dawson County,10,9,7,9,9,11,10,10,7,7,7,7,7,6,6,13833,13751,13640,13810,13372,13520,,12813,12619,12728,12456,12413,12004,11758,"1:1,383","1:1,528","1:1,949","1:1,534","1:1,486","1:1,229",,"1:1,281","1:1,803","1:1,818","1:1,779","1:1,773","1:2,001","1:1,960",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0005,0.0005,,,0.0005,,0.0005,,0.0004,0.0004,0.0004,0.0004,0.0004
DeWitt County,13,15,16,17,21,22,19,20,3,3,20,20,20,18,19,20097,20255,20465,20503,20684,20797,,20226,5349,5331,19824,19918,19929,20252,"1:1,546","1:1,350","1:1,279","1:1,206",0.725694444,0.697916667,,"1:1,011","1:1,783","1:1,777",0.729861111,0.733333333,"1:1,107","1:1,066",0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,,0.0002,0,0,0.0002,0.0002,0.0002,0.0002,,0.0008,0.0008,,,0.0008,,0.0007,,0.0002,0.0007,0.0007,0.0007,0.0007
Deaf Smith County,15,14,15,16,15,15,14,14,13,13,13,12,13,11,13,19372,19595,19360,19177,19195,18952,,18836,18760,18546,18583,18329,18347,18495,"1:1,291","1:1,400","1:1,291","1:1,199","1:1,280","1:1,263",,"1:1,345","1:1,443","1:1,427","1:1,429","1:1,527","1:1,668","1:1,423",0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0008,0.0007,,,0.0007,,0.0007,,0.0006,0.0006,0.0006,0.0006,0.0006
Delta County,5,4,4,4,5,6,3,4,21,21,3,5,6,6,6,5231,5212,5329,5238,5238,5217,,5298,20187,20160,5230,5392,5520,5647,"1:1,046","1:1,303","1:1,332","1:1,310","1:1,048",0.645833333,,"1:1,325",0.709027778,0.708333333,"1:1,743","1:1,078",0.680555556,0.695138889,0.0001,0,0,0,0.0001,0.0001,,0,0.0002,0.0002,0,0.0001,0.0001,0.0001,,0.0002,0.0002,,,0.0002,,0.0002,,0.0007,0.0002,0.0002,0.0002,0.0002
Denton County,1365,1305,1413,1481,1582,1498,1441,1485,1533,1533,1640,1730,1831,1901,1991,662614,686406,707304,728799,753363,780612,,836210,859064,887207,906422,941647,1007703,1045120,0.379166667,0.406944444,0.389583333,0.383333333,0.372222222,0.403472222,,0.432638889,0.430555556,0.44375,0.425694444,0.419444444,0.409722222,0.40625,0.0157,0.0162,0.0171,0.0175,0.0183,0.017,,0.0163,0.0168,0.0168,0.018,0.0182,0.0196,0.0206,,0.0267,0.0271,,,0.0284,,0.0295,,0.0309,0.0316,0.0319,0.0336,0.0348
Dickens County,2,1,0,1,1,1,2,2,3,3,4,3,4,3,3,2444,2402,2323,2291,2218,2206,,2209,2249,2211,1770,1740,1711,1725,"1:1,222","1:2,402",1:--,"1:2,291","1:2,218","1:2,206",,"1:1,105",0.5625,0.553472222,0.349305556,0.444444444,0.4375,0.440972222,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Dimmit County,9,12,14,14,13,12,12,13,14,14,12,12,12,12,12,10124,10118,10461,10897,11089,10980,,10418,10308,10124,8615,8473,8257,8181,"1:1,125",0.627083333,0.560416667,0.581944444,0.634027778,0.677083333,,0.597916667,0.552777778,0.54375,0.540277778,0.531944444,0.519444444,0.515277778,0.0001,0.0001,0.0002,0.0002,0.0002,0.0001,,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,,0.0004,0.0004,,,0.0004,,0.0004,,0.0004,0.0003,0.0003,0.0003,0.0003
Donley County,3,5,5,5,6,6,7,8,7,7,7,6,7,6,6,3677,3651,3598,3522,3543,3499,,3311,3319,3278,3258,3268,3214,3193,"1:1,226",0.548611111,0.541666667,0.530555556,0.452083333,0.446527778,,0.329166667,0.370833333,0.366666667,0.364583333,0.420138889,0.413888889,0.411111111,0,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Duval County,8,8,9,10,9,9,7,7,7,7,5,5,4,3,3,11782,11669,11717,11640,11533,11388,,11273,11212,11157,9831,9756,9604,9585,"1:1,473","1:1,459","1:1,302","1:1,164","1:1,281","1:1,265",,"1:1,610","1:1,602","1:1,594","1:1,966","1:1,951","1:3,201","1:3,195",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,,0.0005,0.0004,,,0.0004,,0.0004,,0.0004,0.0003,0.0003,0.0003,0.0003
Eastland County,18,31,30,29,31,31,29,30,34,34,35,36,36,35,36,18583,18633,18421,18245,18176,18171,,18411,18322,18360,17725,17864,18037,18290,"1:1,032",0.459027778,0.468055556,0.478472222,0.448611111,0.448611111,,0.468055556,0.415972222,0.416666667,0.393055556,0.386111111,0.399305556,0.394444444,0.0002,0.0004,0.0004,0.0003,0.0004,0.0004,,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0007,0.0007,,,0.0007,,0.0007,,0.0006,0.0006,0.0006,0.0006,0.0006
Ector County,209,171,170,183,182,185,187,186,176,176,170,172,163,160,152,137130,140111,144325,149378,153904,159436,,157087,162124,166223,165171,161091,164494,170022,0.497222222,0.610416667,0.63125,0.608333333,0.629166667,0.640277778,,0.628472222,0.68125,0.697222222,0.716666667,0.692361111,0.755555556,0.81875,0.0024,0.0021,0.0021,0.0022,0.0021,0.0021,,0.002,0.0019,0.0019,0.0019,0.0018,0.0017,0.0016,,0.0055,0.0055,,,0.0058,,0.0055,,0.0058,0.0058,0.0055,0.0055,0.0057
Edwards County,1,3,2,2,2,2,2,2,2,2,2,2,3,3,3,2002,1966,1968,1884,1879,1894,,1953,1928,1932,1422,1438,1393,1383,"1:2,002",0.496527778,0.725,0.695833333,0.694444444,0.699305556,,0.720138889,0.711111111,0.7125,0.535416667,0.540972222,0.363888889,0.361805556,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0,0,0,0
El Paso County,1042,1202,1218,1240,1247,1278,1286,1291,1292,1292,1317,1297,1297,1288,1289,800647,820790,827398,827718,833487,835593,,840410,840758,839238,865657,867947,869880,875784,0.575,0.515972222,0.513194444,0.505555556,0.505555556,0.495833333,,0.49375,0.49375,0.493055556,0.497916667,0.50625,0.510416667,0.513194444,0.012,0.0149,0.0147,0.0146,0.0144,0.0145,,0.0142,0.0142,0.0142,0.0144,0.0136,0.0133,0.0133,,0.032,0.0318,,,0.0304,,0.0297,,0.0292,0.0302,0.0294,0.029,0.0292
Ellis County,157,184,186,194,200,209,208,223,231,231,260,250,279,301,304,149610,152753,153969,155976,159317,163632,,173620,179436,184826,192455,202678,222829,232387,0.703472222,0.618055556,0.616666667,0.6,0.595138889,0.585416667,,0.582638889,0.58125,0.597222222,0.555555556,0.604861111,0.555555556,0.572222222,0.0018,0.0023,0.0023,0.0023,0.0023,0.0024,,0.0025,0.0025,0.0025,0.0028,0.0026,0.0031,0.0031,,0.0059,0.0059,,,0.006,,0.0061,,0.0064,0.0067,0.0069,0.0074,0.0077
Erath County,41,59,59,60,57,59,60,59,61,61,63,62,64,64,64,37890,38266,39321,39658,40147,41422,,41969,42446,42698,42545,43378,44195,44496,0.683333333,0.492361111,0.504166667,0.500694444,0.530555556,0.529166667,,0.535416667,0.525,0.527777778,0.510416667,0.527777778,0.521527778,0.524305556,0.0005,0.0007,0.0007,0.0007,0.0007,0.0007,,0.0006,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,,0.0015,0.0015,,,0.0015,,0.0015,,0.0015,0.0015,0.0015,0.0015,0.0015
Falls County,13,10,11,11,12,11,14,14,15,15,16,16,17,17,18,17866,17944,17610,17493,16989,17142,,17437,17335,17297,16968,17313,17286,17752,"1:1,374","1:1,794","1:1,601","1:1,590","1:1,416","1:1,558",,"1:1,246","1:1,156","1:1,153","1:1,061","1:1,082","1:1,017",0.726388889,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0007,0.0007,,,0.0006,,0.0006,,0.0006,0.0006,0.0006,0.0006,0.0006
Fannin County,28,20,20,22,23,24,24,21,23,23,22,23,24,24,25,33915,33958,33831,33659,33752,33693,,34446,35286,35514,35662,36569,37571,38650,"1:1,211","1:1,698","1:1,692","1:1,530","1:1,467","1:1,404",,"1:1,640","1:1,534","1:1,544","1:1,621","1:1,590","1:1,565","1:1,546",0.0003,0.0002,0.0002,0.0003,0.0003,0.0003,,0.0002,0.0003,0.0003,0.0002,0.0002,0.0002,0.0003,,0.0013,0.0013,,,0.0012,,0.0012,,0.0012,0.0012,0.0012,0.0013,0.0013
Fayette County,23,46,48,44,48,47,46,49,50,50,54,55,55,54,56,24554,24732,24695,24821,24833,25110,,25272,25349,25346,24435,24687,25474,25488,"1:1,067",0.415277778,0.398611111,0.433333333,0.400694444,0.4125,,0.4,0.39375,0.39375,0.35625,0.353472222,0.369444444,0.357638889,0.0003,0.0006,0.0006,0.0005,0.0006,0.0005,,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0006,,0.001,0.0009,,,0.0009,,0.0009,,0.0009,0.0009,0.0008,0.0008,0.0008
Fisher County,5,2,2,2,2,2,2,1,1,1,0,0,0,0,0,3974,3914,3844,3856,3831,3827,,3880,3839,3830,3672,3706,3612,3665,0.59375,"1:1,957","1:1,922","1:1,928",0.677777778,"1:1,914",,"1:3,880","1:3,839","1:3,830",1:--,1:--,1:--,1: --,0.0001,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0002,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Floyd County,6,6,6,5,5,6,6,5,6,6,6,5,5,4,4,6446,6394,6367,6230,5949,5901,,5855,5837,5712,5402,5350,5090,5042,"1:1,074","1:1,066","1:1,061","1:1,246","1:1,190",0.725,,"1:1,171",0.717361111,0.702777778,0.666666667,"1:1,070","1:1,273","1:1,261",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Foard County,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1336,1341,1307,1277,1275,1220,,1222,1200,1155,1095,1080,1079,1053,"1:1,336",0.507638889,0.495833333,0.485416667,0.484722222,0.465277778,,0.465972222,0.458333333,0.443055556,"1:1,095",0.416666667,0.416666667,"1:1,053",0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0,,0,,0,0,0,0,0
Fort Bend County,1319,1358,1471,1570,1650,1719,1771,1837,1892,1892,2032,2148,2226,2304,2360,584816,606953,627293,652365,685345,716087,,764828,787858,811688,822779,858527,916778,958434,0.349305556,0.352083333,0.3375,0.330555556,0.329861111,0.33125,,0.330555556,0.330555556,0.339583333,0.322916667,0.319444444,0.318055556,0.323611111,0.0152,0.0168,0.0178,0.0185,0.0191,0.0195,,0.0202,0.0207,0.0207,0.0223,0.0226,0.0238,0.0244,,0.0236,0.0241,,,0.0261,,0.027,,0.0283,0.0287,0.0291,0.0305,0.0319
Franklin County,8,9,9,7,7,7,7,7,8,8,8,9,10,10,10,10359,10551,10640,10660,10600,10651,,10767,10766,10725,10359,10464,10735,10912,"1:1,295","1:1,172","1:1,182","1:1,523","1:1,514","1:1,522",,"1:1,538","1:1,346","1:1,341","1:1,095","1:1,163","1:1,074","1:1,091",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0004,0.0004,,,0.0004,,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004
Freestone County,15,24,23,22,26,28,26,25,25,25,27,24,25,25,24,19816,19684,19515,19646,19762,19691,,19625,19808,19717,19435,19774,20441,20645,"1:1,321",0.611111111,0.630555556,0.661805556,0.569444444,0.529861111,,0.586805556,0.591666667,0.589583333,0.541666667,0.613888889,0.609722222,0.638888889,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0002,,0.0008,0.0007,,,0.0007,,0.0007,,0.0007,0.0007,0.0007,0.0007,0.0007
Frio County,11,12,12,13,15,16,14,13,11,11,14,14,12,12,9,17217,17400,17702,18065,18531,18793,,19600,19816,20306,18385,18436,17987,19520,"1:1,565","1:1,450","1:1,475","1:1,390","1:1,235","1:1,175",,"1:1,508","1:1,801","1:1,846","1:1,313","1:1,317","1:1,499","1:2,169",0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,,0.0007,0.0007,,,0.0007,,0.0007,,0.0007,0.0006,0.0006,0.0006,0.0007
Gaines County,17,5,721,5,5,6,7,6,7,7,6,7,7,6,6,17526,18003,300484,18921,19425,20051,,20638,20901,21492,21598,21895,22523,22892,"1:1,031","1:3,601",0.33125,"1:3,784","1:3,885","1:3,342",,"1:3,440","1:2,986","1:3,070","1:3,600","1:3,128","1:3,754","1:3,815",0.0002,0.0001,0.0087,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0007,0.0115,,,0.0007,,0.0007,,0.0007,0.0008,0.0007,0.0008,0.0008
Galveston County,677,685,5,755,777,814,808,805,801,801,839,849,863,877,880,291309,295747,18413,306782,314198,322225,,335036,337890,342139,350682,355062,361744,367407,0.340277778,0.341666667,"1:3,683",0.323611111,0.322222222,0.316666667,,0.330555556,0.334722222,0.338194444,0.331944444,0.331944444,0.327777778,0.331944444,0.0078,0.0085,0.0001,0.0089,0.009,0.0093,,0.0088,0.0088,0.0088,0.0092,0.0089,0.0091,0.0091,,0.0115,0.0007,,,0.0117,,0.0118,,0.0119,0.0122,0.012,0.012,0.0122
Garza County,6,2,2,2,3,2,3,2,3,3,3,3,4,4,4,6461,6562,6412,6317,6435,6415,,6528,6578,6229,5816,5863,4517,4645,"1:1,077","1:3,281","1:3,206","1:3,159","1:2,145","1:3,208",,"1:3,264","1:2,193","1:2,076","1:1,939","1:1,954","1:1,129","1:1,161",0.0001,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0003,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Gillespie County,33,62,68,72,70,71,78,77,80,80,87,92,101,109,111,24837,25114,25153,25357,25520,25963,,26646,26804,26988,26725,27297,27733,28159,0.564583333,0.322916667,0.298611111,0.286111111,0.295138889,0.295833333,,0.281944444,0.274305556,0.275694444,0.254861111,0.247916667,0.218055556,0.218055556,0.0004,0.0008,0.0008,0.0008,0.0008,0.0008,,0.0008,0.0009,0.0009,0.001,0.001,0.0011,0.0011,,0.001,0.001,,,0.0009,,0.0009,,0.0009,0.0009,0.0009,0.0009,0.0009
Glasscock County,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1226,1251,1259,1251,1291,1315,,1348,1388,1409,1116,1149,1141,1153,1:--,1:--,"1:1,259","1:1,251","1:1,291","1:1,315",,"1:1,314",1:--,1:--,1:--,1:--,1:--,1: --,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,0,,0,0,0,0,0
Goliad County,8,8,9,7,7,7,6,5,5,5,5,6,7,9,8,7210,7243,7351,7465,7549,7531,,7562,7584,7658,7012,7163,7144,7221,0.667361111,0.670138889,0.609027778,"1:1,066","1:1,078","1:1,076",,"1:1,512","1:1,517","1:1,532","1:1,402","1:1,194",0.593055556,0.66875,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0003,0.0003,,,0.0003,,0.0003,,0.0003,0.0002,0.0002,0.0002,0.0002
Gonzales County,18,17,18,18,20,22,20,18,20,20,19,19,21,21,23,19807,19904,20045,20312,20462,20573,,20893,20826,20837,19653,19641,19930,20040,"1:1,100","1:1,171","1:1,114","1:1,128","1:1,023",0.690972222,,"1:1,161","1:1,041","1:1,042","1:1,034","1:1,034",0.700694444,0.646527778,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0008,0.0008,,,0.0007,,0.0007,,0.0007,0.0007,0.0007,0.0007,0.0007
Gray County,35,24,25,23,22,23,23,23,23,23,19,20,18,17,16,22535,22755,22978,23043,23044,23210,,22404,21895,21886,21227,21030,20916,20888,0.488888889,0.7,0.679861111,"1:1,002","1:1,047","1:1,009",,0.718055556,0.702777778,0.702777778,"1:1,117","1:1,052","1:1,230","1:1,306",0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,,0.0009,0.0009,,,0.0008,,0.0008,,0.0008,0.0007,0.0007,0.0007,0.0007
Grayson County,135,191,185,183,192,200,198,188,195,195,214,221,222,224,226,120877,121419,121935,122353,123534,125467,,131140,133991,136212,135543,139336,143131,150532,0.663194444,0.483333333,0.499305556,0.50625,0.488194444,0.477083333,,0.526388889,0.51875,0.527083333,0.48125,0.479166667,0.485416667,0.504166667,0.0016,0.0024,0.0022,0.0022,0.0022,0.0023,,0.0021,0.0021,0.0021,0.0023,0.0023,0.0023,0.0023,,0.0047,0.0047,,,0.0046,,0.0046,,0.0047,0.0047,0.0047,0.0048,0.005
Gregg County,268,302,315,316,301,292,295,292,286,286,290,285,280,274,273,121730,123081,122658,123024,123204,124108,,123367,123707,123945,124239,124201,126243,126679,0.356944444,0.325,0.311805556,0.311805556,0.325694444,0.336805556,,0.334722222,0.342361111,0.342361111,0.338888889,0.344444444,0.361805556,0.363888889,0.0031,0.0037,0.0038,0.0037,0.0035,0.0033,,0.0032,0.0031,0.0031,0.0032,0.003,0.0028,0.0028,,0.0048,0.0047,,,0.0045,,0.0044,,0.0043,0.0043,0.0042,0.0042,0.0042
Grimes County,25,29,28,29,28,30,33,30,31,31,37,36,37,39,36,26604,26887,26783,26859,27172,27512,,28082,28360,28880,29268,30287,32384,33448,"1:1,064",0.685416667,0.70625,0.684722222,0.715277778,0.678472222,,0.691666667,0.677083333,0.688888889,0.590972222,0.625694444,0.618055556,0.686805556,0.0003,0.0004,0.0003,0.0003,0.0003,0.0003,,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,,0.001,0.001,,,0.001,,0.001,,0.001,0.001,0.001,0.0011,0.0011
Guadalupe County,114,131,128,140,137,141,146,150,159,159,168,181,187,197,197,131533,135757,139841,143183,147250,151249,,159659,163694,166847,172706,177036,188454,195166,"1:1,154","1:1,036","1:1,093","1:1,023","1:1,075","1:1,073",,"1:1,064","1:1,030","1:1,049","1:1,028",0.720833333,0.70625,0.729861111,0.0013,0.0016,0.0015,0.0017,0.0016,0.0016,,0.0016,0.0017,0.0017,0.0018,0.0019,0.002,0.002,,0.0053,0.0054,,,0.0055,,0.0056,,0.0058,0.006,0.006,0.0063,0.0065
Hale County,29,27,29,31,33,31,31,33,30,30,26,26,25,25,23,36273,36498,36385,35764,34720,34360,,34134,33830,33406,32522,32220,31761,31953,"1:1,251","1:1,352","1:1,255","1:1,154","1:1,052","1:1,108",,"1:1,034","1:1,128","1:1,114","1:1,251","1:1,239","1:1,270","1:1,389",0.0003,0.0003,0.0004,0.0004,0.0004,0.0004,,0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,0.0002,,0.0014,0.0014,,,0.0013,,0.0012,,0.0012,0.0011,0.0011,0.0011,0.0011
Hall County,6,1,1,1,1,1,1,1,1,1,1,0,1,0,0,3353,3377,3293,3239,3147,3138,,3071,3028,2964,2825,2845,2818,2828,0.429861111,"1:3,377","1:3,293","1:3,239","1:3,147","1:3,138",,"1:3,071","1:3,028","1:2,964","1:2,825",1:--,1:--,1: --,0.0001,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
