county name,active in state texas attorney__2010,active in state texas attorney__2011,active in state texas attorney__2012,active in state texas attorney__2013,active in state texas attorney__2014,active in state texas attorney__2015,active in state texas attorney__2016,active in state texas attorney__2017,active in state texas attorney__2018,active in state texas attorney__2019,active in state texas attorney__2020,active in state texas attorney__2021,active in state texas attorney__2023,active in state texas attorney__2024,population__2010,population__2011,population__2012,population__2013,population__2014,population__2015,population__2016,population__2017,population__2018,population__2019,population__2020,population__2021,population__2023,population__2024,ratio of attorney to population__2010,ratio of attorney to population__2011,ratio of attorney to population__2012,ratio of attorney to population__2013,ratio of attorney to population__2014,ratio of attorney to population__2015,ratio of attorney to population__2016,ratio of attorney to population__2017,ratio of attorney to population__2018,ratio of attorney to population__2019,ratio of attorney to population__2020,ratio of attorney to population__2021,ratio of attorney to population__2023,ratio of attorney to population__2024,attorney as a percentage of total in state attorney__2010,attorney as a percentage of total in state attorney__2011,attorney as a percentage of total in state attorney__2012,attorney as a percentage of total in state attorney__2013,attorney as a percentage of total in state attorney__2014,attorney as a percentage of total in state attorney__2015,attorney as a percentage of total in state attorney__2016,attorney as a percentage of total in state attorney__2017,attorney as a percentage of total in state attorney__2018,attorney as a percentage of total in state attorney__2019,attorney as a percentage of total in state attorney__2020,attorney as a percentage of total in state attorney__2021,attorney as a percentage of total in state attorney__2023,attorney as a percentage of total in state attorney__2024,population as a percentage of total texas population__2010,population as a percentage of total texas population__2011,population as a percentage of total texas population__2012,population as a percentage of total texas population__2013,population as a percentage of total texas population__2014,population as a percentage of total texas population__2015,population as a percentage of total texas population__2016,population as a percentage of total texas population__2017,population as a percentage of total texas population__2018,population as a percentage of total texas population__2019,population as a percentage of total texas population__2020,population as a percentage of total texas population__2021,population as a percentage of total texas population__2023,population as a percentage of total texas population__2024
Cochran County,1,1,1,1,1,2,1,1,1,1,1,3,2,2,3127.0,3109.0,3046.0,3016.0,2935.0,2953.0,,2851.0,2836.0,2853.0,2547.0,2516.0,2509.0,2583.0,"1:3,127","1:3,109","1:3,046","1:3,016","1:2,935","1:1,477",,"1:2,851","1:2,836","1:2,853","1:2,547",0.6243055555555556,"1:1,255","1:1,292",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Coke County,3,1,1,1,2,1,1,1,1,1,1,1,1,1,3320.0,3305.0,3231.0,3210.0,3254.0,3238.0,,3306.0,3370.0,3387.0,3285.0,3321.0,3352.0,3396.0,"1:1,107","1:3,305","1:3,231","1:3,210","1:1,627","1:3,238",,"1:3,306","1:3,370","1:3,387","1:3,285","1:3,321","1:3,352","1:3,396",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Coleman County,12,8,9,9,10,8,7,7,6,6,6,8,9,9,8895.0,8763.0,8675.0,8543.0,8430.0,8338.0,,8430.0,8397.0,8175.0,7684.0,7735.0,7842.0,7990.0,0.55625,"1:1,095",0.7111111111111111,0.7006944444444444,0.6270833333333333,"1:1,042",,"1:1,204","1:1,400","1:1,363","1:1,281",0.7131944444444445,0.6465277777777778,0.6583333333333333,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0003,0.0003,,,0.0003,,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003
Collin County,2102,2102,2206,2310,2451,2700,2937,3086,3076,3076,3539,3709,3973,4116,782341.0,812226.0,834642.0,854778.0,885241.0,914127.0,,969603.0,1005146.0,1034730.0,1064465.0,1109462.0,1195359.0,1254658.0,0.3,0.30972222222222223,0.30416666666666664,0.2986111111111111,0.2923611111111111,0.27708333333333335,,0.25972222222222224,0.26875,0.275,0.25069444444444444,0.24930555555555556,0.25069444444444444,0.2534722222222222,0.0241,0.0261,0.0267,0.0272,0.0283,0.0307,,0.0339,0.0337,0.0337,0.0388,0.039,0.041,0.0425,,0.0316,0.032,,,0.0333,,0.0343,,0.0361,0.0371,0.0376,0.0398,0.0418
Collingsworth County,4,2,2,2,2,2,3,3,3,3,3,4,4,4,3057.0,3092.0,3036.0,3099.0,3017.0,3044.0,,2987.0,2962.0,2920.0,2652.0,2615.0,2563.0,2611.0,0.5722222222222222,"1:1,546","1:1,518","1:1,550","1:1,509","1:1,522",,0.7333333333333333,0.7270833333333333,0.7173611111111111,0.6555555555555556,0.49583333333333335,0.48680555555555555,0.4951388888888889,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Colorado County,24,22,24,23,24,24,26,22,18,18,23,25,26,28,20874.0,20816.0,20696.0,20752.0,20719.0,20870.0,,21232.0,21217.0,21493.0,20557.0,20630.0,21117.0,21475.0,0.6458333333333334,0.6986111111111111,0.6402777777777777,0.6680555555555555,0.6409722222222223,0.6458333333333334,,0.7118055555555556,"1:1,179","1:1,194",0.6625,0.6145833333333334,0.6055555555555555,0.5743055555555555,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,,0.0008,0.0008,,,0.0008,,0.0008,,0.0007,0.0007,0.0007,0.0007,0.0007
Comal County,157,251,261,269,274,274,295,315,341,341,382,412,463,510,108472.0,111963.0,114384.0,118480.0,123694.0,129048.0,,141009.0,148373.0,156209.0,161501.0,174986.0,193928.0,201628.0,0.5215277777777778,0.35138888888888886,0.3458333333333333,0.3472222222222222,0.3548611111111111,0.36875,,0.3527777777777778,0.34375,0.3597222222222222,0.33541666666666664,0.3368055555555556,0.3326388888888889,0.3159722222222222,0.0018,0.0031,0.0032,0.0032,0.0032,0.0031,,0.0035,0.0037,0.0037,0.0042,0.0043,0.0048,0.0053,,0.0044,0.0044,,,0.0047,,0.005,,0.0054,0.0056,0.0059,0.0065,0.0067
Comanche County,14,17,17,16,14,14,14,14,12,12,13,15,16,15,13974.0,13891.0,13765.0,13623.0,13550.0,13430.0,,13573.0,13534.0,13635.0,13594.0,13775.0,14050.0,14359.0,0.7347222222222223,0.6090277777777777,0.6041666666666666,0.6326388888888889,0.7138888888888889,0.7076388888888889,,0.7152777777777778,"1:1,128","1:1,136","1:1,046",0.6791666666666667,0.6513888888888889,0.70625,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,,0.0005,0.0005,,,0.0005,,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005
Concho County,2,1,2,2,2,3,3,2,2,2,2,2,4,3,4087.0,4081.0,4010.0,4043.0,4050.0,4081.0,,2717.0,4276.0,2726.0,3303.0,3341.0,3297.0,3326.0,"1:2,044","1:4,081","1:2,005","1:2,022","1:2,025","1:1,360",,"1:1,359","1:2,138","1:1,363","1:1,652","1:1,671",0.6138888888888889,"1:1,109",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0002,0.0002,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Cooke County,47,47,50,52,51,53,51,50,52,52,49,56,56,62,38437.0,38396.0,38688.0,38467.0,38761.0,39229.0,,39895.0,40574.0,41257.0,41668.0,42244.0,43782.0,44258.0,0.6097222222222223,0.6090277777777777,0.5791666666666667,0.5555555555555556,0.5694444444444444,0.5555555555555556,,0.5958333333333333,0.5833333333333334,0.5923611111111111,0.6319444444444444,0.5652777777777778,0.5847222222222223,0.5375,0.0005,0.0006,0.0006,0.0006,0.0006,0.0006,,0.0005,0.0006,0.0006,0.0005,0.0006,0.0006,0.0006,,0.0015,0.0015,,,0.0014,,0.0014,,0.0014,0.0015,0.0014,0.0015,0.0015
Coryell County,30,42,43,45,40,33,35,37,38,38,36,36,33,37,75388.0,76508.0,77231.0,76192.0,75562.0,75503.0,,74913.0,74808.0,75951.0,83093.0,84232.0,84878.0,86370.0,"1:2,513","1:1,822","1:1,796","1:1,693","1:1,889","1:2,288",,"1:2,025","1:1,969","1:1,999","1:2,308","1:2,340","1:2,572","1:2,334",0.0003,0.0005,0.0005,0.0005,0.0005,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004,0.0003,0.0004,,0.003,0.003,,,0.0027,,0.0026,,0.0026,0.0029,0.0029,0.0028,0.0029
Cottle County,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1505.0,1499.0,1486.0,1452.0,1415.0,1426.0,,1387.0,1389.0,1398.0,1380.0,1381.0,1294.0,1263.0,"1:1,505",0.5625,0.5576388888888889,0.5458333333333333,0.5333333333333333,0.5368055555555555,,0.5236111111111111,"1:1,389","1:1,398",0.5208333333333334,0.5215277777777778,0.4909722222222222,0.48055555555555557,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0001,0.0001,,,0.0001,,0.0,,0.0,0.0,0.0,0.0,0.0
Crane County,6,2,2,3,3,4,3,5,4,4,4,3,3,4,4375.0,4383.0,4562.0,4773.0,4950.0,5048.0,,4740.0,4794.0,4797.0,4675.0,4680.0,4574.0,4594.0,0.5479166666666667,"1:2,192","1:2,281","1:1,591","1:1,650","1:1,262",,0.7,"1:1,199","1:1,199","1:1,169","1:1,560","1:1,525","1:1,149",0.0001,0.0,0.0,0.0,0.0,0.0,,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Crockett County,4,12,9,11,11,9,9,10,10,10,9,8,7,5,3719.0,3722.0,3743.0,3807.0,3812.0,3710.0,,3564.0,3499.0,3464.0,3098.0,3068.0,2858.0,2799.0,0.6875,0.2569444444444444,0.33055555555555555,0.28194444444444444,0.2826388888888889,0.3277777777777778,,0.28888888888888886,0.2847222222222222,0.28194444444444444,0.28055555555555556,0.30833333333333335,0.325,0.4305555555555556,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Crosby County,4,5,5,5,5,5,5,4,3,3,3,3,4,3,6059.0,6092.0,6126.0,5991.0,5899.0,5977.0,,5899.0,5779.0,5737.0,5133.0,5106.0,4917.0,5030.0,"1:1,515","1:1,218","1:1,225","1:1,198","1:1,180","1:1,195",,"1:1,475","1:1,926","1:1,912","1:1,711","1:1,702","1:1,229","1:1,677",0.0,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Culberson County,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2398.0,2383.0,2290.0,2277.0,2266.0,2236.0,,2231.0,2204.0,2171.0,2188.0,2193.0,2196.0,2254.0,"1:2,398","1:1,192","1:2,290","1:2,277","1:2,266","1:2,236",,"1:2,231","1:2,204","1:2,171","1:2,188","1:2,193","1:2,196","1:2,254",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Dallam County,5,10,7,7,8,9,9,8,9,9,9,8,6,7,6703.0,6866.0,6996.0,7057.0,7135.0,7121.0,,7208.0,7200.0,7287.0,7115.0,7172.0,7237.0,7526.0,"1:1,341",0.51875,0.7354166666666667,"1:1,008",0.6611111111111111,0.5909722222222222,,0.6673611111111111,0.5972222222222222,0.6041666666666666,0.5909722222222222,0.6645833333333333,"1:1,206","1:1,075",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0003,0.0003,,,0.0003,,0.0003,,0.0003,0.0002,0.0002,0.0002,0.0003
Dallas County,14930,15200,15527,15889,16037,16182,16369,16574,16702,16702,16760,16886,17365,17620,2368139.0,2416014.0,2453843.0,2480331.0,2518638.0,2553385.0,,2618148.0,2637772.0,2635516.0,2613539.0,2586050.0,2606358.0,2656028.0,0.15208333333333332,0.15208333333333332,0.15138888888888888,0.15,0.15069444444444444,0.15138888888888888,,0.15138888888888888,0.15138888888888888,0.15138888888888888,0.15,0.14791666666666667,0.14583333333333334,0.14652777777777778,0.1716,0.1885,0.188,0.1874,0.1854,0.184,,0.1822,0.183,0.183,0.1837,0.1774,0.1793,0.182,,0.0941,0.0942,,,0.093,,0.0925,,0.0918,0.0911,0.0876,0.0868,0.0884
Dawson County,10,9,7,9,9,11,10,10,7,7,7,7,6,6,13833.0,13751.0,13640.0,13810.0,13372.0,13520.0,,12813.0,12619.0,12728.0,12456.0,12413.0,12004.0,11758.0,"1:1,383","1:1,528","1:1,949","1:1,534","1:1,486","1:1,229",,"1:1,281","1:1,803","1:1,818","1:1,779","1:1,773","1:2,001","1:1,960",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0005,0.0005,,,0.0005,,0.0005,,0.0004,0.0004,0.0004,0.0004,0.0004
DeWitt County,13,15,16,17,21,22,19,20,3,3,20,20,18,19,20097.0,20255.0,20465.0,20503.0,20684.0,20797.0,,20226.0,5349.0,5331.0,19824.0,19918.0,19929.0,20252.0,"1:1,546","1:1,350","1:1,279","1:1,206",0.7256944444444444,0.6979166666666666,,"1:1,011","1:1,783","1:1,777",0.7298611111111111,0.7333333333333333,"1:1,107","1:1,066",0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,,0.0002,0.0,0.0,0.0002,0.0002,0.0002,0.0002,,0.0008,0.0008,,,0.0008,,0.0007,,0.0002,0.0007,0.0007,0.0007,0.0007
Deaf Smith County,15,14,15,16,15,15,14,14,13,13,13,12,11,13,19372.0,19595.0,19360.0,19177.0,19195.0,18952.0,,18836.0,18760.0,18546.0,18583.0,18329.0,18347.0,18495.0,"1:1,291","1:1,400","1:1,291","1:1,199","1:1,280","1:1,263",,"1:1,345","1:1,443","1:1,427","1:1,429","1:1,527","1:1,668","1:1,423",0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0008,0.0007,,,0.0007,,0.0007,,0.0006,0.0006,0.0006,0.0006,0.0006
Delta County,5,4,4,4,5,6,3,4,21,21,3,5,6,6,5231.0,5212.0,5329.0,5238.0,5238.0,5217.0,,5298.0,20187.0,20160.0,5230.0,5392.0,5520.0,5647.0,"1:1,046","1:1,303","1:1,332","1:1,310","1:1,048",0.6458333333333334,,"1:1,325",0.7090277777777778,0.7083333333333334,"1:1,743","1:1,078",0.6805555555555556,0.6951388888888889,0.0001,0.0,0.0,0.0,0.0001,0.0001,,0.0,0.0002,0.0002,0.0,0.0001,0.0001,0.0001,,0.0002,0.0002,,,0.0002,,0.0002,,0.0007,0.0002,0.0002,0.0002,0.0002
Denton County,1365,1305,1413,1481,1582,1498,1441,1485,1533,1533,1640,1730,1901,1991,662614.0,686406.0,707304.0,728799.0,753363.0,780612.0,,836210.0,859064.0,887207.0,906422.0,941647.0,1007703.0,1045120.0,0.37916666666666665,0.40694444444444444,0.38958333333333334,0.38333333333333336,0.37222222222222223,0.40347222222222223,,0.4326388888888889,0.4305555555555556,0.44375,0.42569444444444443,0.41944444444444445,0.4097222222222222,0.40625,0.0157,0.0162,0.0171,0.0175,0.0183,0.017,,0.0163,0.0168,0.0168,0.018,0.0182,0.0196,0.0206,,0.0267,0.0271,,,0.0284,,0.0295,,0.0309,0.0316,0.0319,0.0336,0.0348
Dickens County,2,1,0,1,1,1,2,2,3,3,4,3,3,3,2444.0,2402.0,2323.0,2291.0,2218.0,2206.0,,2209.0,2249.0,2211.0,1770.0,1740.0,1711.0,1725.0,"1:1,222","1:2,402",1:--,"1:2,291","1:2,218","1:2,206",,"1:1,105",0.5625,0.5534722222222223,0.34930555555555554,0.4444444444444444,0.4375,0.4409722222222222,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Dimmit County,9,12,14,14,13,12,12,13,14,14,12,12,12,12,10124.0,10118.0,10461.0,10897.0,11089.0,10980.0,,10418.0,10308.0,10124.0,8615.0,8473.0,8257.0,8181.0,"1:1,125",0.6270833333333333,0.5604166666666667,0.5819444444444445,0.6340277777777777,0.6770833333333334,,0.5979166666666667,0.5527777777777778,0.54375,0.5402777777777777,0.5319444444444444,0.5194444444444445,0.5152777777777777,0.0001,0.0001,0.0002,0.0002,0.0002,0.0001,,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,,0.0004,0.0004,,,0.0004,,0.0004,,0.0004,0.0003,0.0003,0.0003,0.0003
Donley County,3,5,5,5,6,6,7,8,7,7,7,6,6,6,3677.0,3651.0,3598.0,3522.0,3543.0,3499.0,,3311.0,3319.0,3278.0,3258.0,3268.0,3214.0,3193.0,"1:1,226",0.5486111111111112,0.5416666666666666,0.5305555555555556,0.45208333333333334,0.4465277777777778,,0.32916666666666666,0.37083333333333335,0.36666666666666664,0.3645833333333333,0.4201388888888889,0.41388888888888886,0.4111111111111111,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Duval County,8,8,9,10,9,9,7,7,7,7,5,5,3,3,11782.0,11669.0,11717.0,11640.0,11533.0,11388.0,,11273.0,11212.0,11157.0,9831.0,9756.0,9604.0,9585.0,"1:1,473","1:1,459","1:1,302","1:1,164","1:1,281","1:1,265",,"1:1,610","1:1,602","1:1,594","1:1,966","1:1,951","1:3,201","1:3,195",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,,0.0005,0.0004,,,0.0004,,0.0004,,0.0004,0.0003,0.0003,0.0003,0.0003
Eastland County,18,31,30,29,31,31,29,30,34,34,35,36,35,36,18583.0,18633.0,18421.0,18245.0,18176.0,18171.0,,18411.0,18322.0,18360.0,17725.0,17864.0,18037.0,18290.0,"1:1,032",0.45902777777777776,0.46805555555555556,0.47847222222222224,0.4486111111111111,0.4486111111111111,,0.46805555555555556,0.41597222222222224,0.4166666666666667,0.39305555555555555,0.3861111111111111,0.3993055555555556,0.39444444444444443,0.0002,0.0004,0.0004,0.0003,0.0004,0.0004,,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0007,0.0007,,,0.0007,,0.0007,,0.0006,0.0006,0.0006,0.0006,0.0006
Ector County,209,171,170,183,182,185,187,186,176,176,170,172,160,152,137130.0,140111.0,144325.0,149378.0,153904.0,159436.0,,157087.0,162124.0,166223.0,165171.0,161091.0,164494.0,170022.0,0.49722222222222223,0.6104166666666667,0.63125,0.6083333333333333,0.6291666666666667,0.6402777777777777,,0.6284722222222222,0.68125,0.6972222222222222,0.7166666666666667,0.6923611111111111,0.7555555555555555,0.81875,0.0024,0.0021,0.0021,0.0022,0.0021,0.0021,,0.002,0.0019,0.0019,0.0019,0.0018,0.0017,0.0016,,0.0055,0.0055,,,0.0058,,0.0055,,0.0058,0.0058,0.0055,0.0055,0.0057
Edwards County,1,3,2,2,2,2,2,2,2,2,2,2,3,3,2002.0,1966.0,1968.0,1884.0,1879.0,1894.0,,1953.0,1928.0,1932.0,1422.0,1438.0,1393.0,1383.0,"1:2,002",0.4965277777777778,0.725,0.6958333333333333,0.6944444444444444,0.6993055555555555,,0.7201388888888889,0.7111111111111111,0.7125,0.5354166666666667,0.5409722222222222,0.3638888888888889,0.36180555555555555,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0,0.0,0.0,0.0
El Paso County,1042,1202,1218,1240,1247,1278,1286,1291,1292,1292,1317,1297,1288,1289,800647.0,820790.0,827398.0,827718.0,833487.0,835593.0,,840410.0,840758.0,839238.0,865657.0,867947.0,869880.0,875784.0,0.575,0.5159722222222223,0.5131944444444444,0.5055555555555555,0.5055555555555555,0.49583333333333335,,0.49375,0.49375,0.4930555555555556,0.4979166666666667,0.50625,0.5104166666666666,0.5131944444444444,0.012,0.0149,0.0147,0.0146,0.0144,0.0145,,0.0142,0.0142,0.0142,0.0144,0.0136,0.0133,0.0133,,0.032,0.0318,,,0.0304,,0.0297,,0.0292,0.0302,0.0294,0.029,0.0292
Ellis County,157,184,186,194,200,209,208,223,231,231,260,250,301,304,149610.0,152753.0,153969.0,155976.0,159317.0,163632.0,,173620.0,179436.0,184826.0,192455.0,202678.0,222829.0,232387.0,0.7034722222222223,0.6180555555555556,0.6166666666666667,0.6,0.5951388888888889,0.5854166666666667,,0.5826388888888889,0.58125,0.5972222222222222,0.5555555555555556,0.6048611111111111,0.5555555555555556,0.5722222222222222,0.0018,0.0023,0.0023,0.0023,0.0023,0.0024,,0.0025,0.0025,0.0025,0.0028,0.0026,0.0031,0.0031,,0.0059,0.0059,,,0.006,,0.0061,,0.0064,0.0067,0.0069,0.0074,0.0077
Erath County,41,59,59,60,57,59,60,59,61,61,63,62,64,64,37890.0,38266.0,39321.0,39658.0,40147.0,41422.0,,41969.0,42446.0,42698.0,42545.0,43378.0,44195.0,44496.0,0.6833333333333333,0.49236111111111114,0.5041666666666667,0.5006944444444444,0.5305555555555556,0.5291666666666667,,0.5354166666666667,0.525,0.5277777777777778,0.5104166666666666,0.5277777777777778,0.5215277777777778,0.5243055555555556,0.0005,0.0007,0.0007,0.0007,0.0007,0.0007,,0.0006,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,,0.0015,0.0015,,,0.0015,,0.0015,,0.0015,0.0015,0.0015,0.0015,0.0015
Falls County,13,10,11,11,12,11,14,14,15,15,16,16,17,18,17866.0,17944.0,17610.0,17493.0,16989.0,17142.0,,17437.0,17335.0,17297.0,16968.0,17313.0,17286.0,17752.0,"1:1,374","1:1,794","1:1,601","1:1,590","1:1,416","1:1,558",,"1:1,246","1:1,156","1:1,153","1:1,061","1:1,082","1:1,017",0.7263888888888889,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0007,0.0007,,,0.0006,,0.0006,,0.0006,0.0006,0.0006,0.0006,0.0006
Fannin County,28,20,20,22,23,24,24,21,23,23,22,23,24,25,33915.0,33958.0,33831.0,33659.0,33752.0,33693.0,,34446.0,35286.0,35514.0,35662.0,36569.0,37571.0,38650.0,"1:1,211","1:1,698","1:1,692","1:1,530","1:1,467","1:1,404",,"1:1,640","1:1,534","1:1,544","1:1,621","1:1,590","1:1,565","1:1,546",0.0003,0.0002,0.0002,0.0003,0.0003,0.0003,,0.0002,0.0003,0.0003,0.0002,0.0002,0.0002,0.0003,,0.0013,0.0013,,,0.0012,,0.0012,,0.0012,0.0012,0.0012,0.0013,0.0013
Fayette County,23,46,48,44,48,47,46,49,50,50,54,55,54,56,24554.0,24732.0,24695.0,24821.0,24833.0,25110.0,,25272.0,25349.0,25346.0,24435.0,24687.0,25474.0,25488.0,"1:1,067",0.4152777777777778,0.39861111111111114,0.43333333333333335,0.40069444444444446,0.4125,,0.4,0.39375,0.39375,0.35625,0.35347222222222224,0.36944444444444446,0.3576388888888889,0.0003,0.0006,0.0006,0.0005,0.0006,0.0005,,0.0005,0.0005,0.0005,0.0006,0.0006,0.0006,0.0006,,0.001,0.0009,,,0.0009,,0.0009,,0.0009,0.0009,0.0008,0.0008,0.0008
Fisher County,5,2,2,2,2,2,2,1,1,1,0,0,0,0,3974.0,3914.0,3844.0,3856.0,3831.0,3827.0,,3880.0,3839.0,3830.0,3672.0,3706.0,3612.0,3665.0,0.59375,"1:1,957","1:1,922","1:1,928",0.6777777777777778,"1:1,914",,"1:3,880","1:3,839","1:3,830",1:--,1:--,1:--,1: --,0.0001,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0002,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Floyd County,6,6,6,5,5,6,6,5,6,6,6,5,4,4,6446.0,6394.0,6367.0,6230.0,5949.0,5901.0,,5855.0,5837.0,5712.0,5402.0,5350.0,5090.0,5042.0,"1:1,074","1:1,066","1:1,061","1:1,246","1:1,190",0.725,,"1:1,171",0.7173611111111111,0.7027777777777777,0.6666666666666666,"1:1,070","1:1,273","1:1,261",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Foard County,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1336.0,1341.0,1307.0,1277.0,1275.0,1220.0,,1222.0,1200.0,1155.0,1095.0,1080.0,1079.0,1053.0,"1:1,336",0.5076388888888889,0.49583333333333335,0.48541666666666666,0.4847222222222222,0.4652777777777778,,0.46597222222222223,0.4583333333333333,0.44305555555555554,"1:1,095",0.4166666666666667,0.4166666666666667,"1:1,053",0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0001,0.0001,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Fort Bend County,1319,1358,1471,1570,1650,1719,1771,1837,1892,1892,2032,2148,2304,2360,584816.0,606953.0,627293.0,652365.0,685345.0,716087.0,,764828.0,787858.0,811688.0,822779.0,858527.0,916778.0,958434.0,0.34930555555555554,0.35208333333333336,0.3375,0.33055555555555555,0.3298611111111111,0.33125,,0.33055555555555555,0.33055555555555555,0.33958333333333335,0.3229166666666667,0.3194444444444444,0.31805555555555554,0.3236111111111111,0.0152,0.0168,0.0178,0.0185,0.0191,0.0195,,0.0202,0.0207,0.0207,0.0223,0.0226,0.0238,0.0244,,0.0236,0.0241,,,0.0261,,0.027,,0.0283,0.0287,0.0291,0.0305,0.0319
Franklin County,8,9,9,7,7,7,7,7,8,8,8,9,10,10,10359.0,10551.0,10640.0,10660.0,10600.0,10651.0,,10767.0,10766.0,10725.0,10359.0,10464.0,10735.0,10912.0,"1:1,295","1:1,172","1:1,182","1:1,523","1:1,514","1:1,522",,"1:1,538","1:1,346","1:1,341","1:1,095","1:1,163","1:1,074","1:1,091",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0004,0.0004,,,0.0004,,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004
Freestone County,15,24,23,22,26,28,26,25,25,25,27,24,25,24,19816.0,19684.0,19515.0,19646.0,19762.0,19691.0,,19625.0,19808.0,19717.0,19435.0,19774.0,20441.0,20645.0,"1:1,321",0.6111111111111112,0.6305555555555555,0.6618055555555555,0.5694444444444444,0.5298611111111111,,0.5868055555555556,0.5916666666666667,0.5895833333333333,0.5416666666666666,0.6138888888888889,0.6097222222222223,0.6388888888888888,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0002,,0.0008,0.0007,,,0.0007,,0.0007,,0.0007,0.0007,0.0007,0.0007,0.0007
